     time_period  economy_id theta_n theta
   6           1          32   29.186505729374872     
   6           1          33   23.313071766117993     
   6           1          34   10.630490683413951     
   6           1          35   12.609446816087887     
   6           1          36   16.978681878425089     
   6           1          37   24.363810175344025     
   6           1          38   30.016011596477313     
   6           1          39   37.653638696286322     
   6           1          40   17.807168341534819     
   6           1          41  -59.772241377852190     
   6           1          42  -44.649328270437813     
   6           1          43   1413.5290873814831     
   6           1          44   661.68633077836262     
   6           1          45  -35.495081930019431     
   6           1          46  -7.1198605127251451     
   6           1          47  -719.02704930329151     
   6           1          48   2578.4049522739697     
   6           1          49   30.237594960655784     
   6           1          50   49.167620018616972     
   6           1          51   8.3974700139061333     
   6           1          52   32.449025179836212     
   6           1          53   35.692557877321363     
   6           1          54   9.8023217450994586     
   6           1          55   70.555527149022367     
   6           1          56   42.827782962409252     
   6           1          57  0.36041512166116618     
   6           1          58   61.781300452623562     
   6           1          59   26.375917474006204     
   6           1          60   5.3351011727920099     
   6           1          61   253.66258515619836     
   6           1          62   262.00074710446859     
   6           2           1   3.4900010895129499     
   6           2           2  -2.1444930936358300     
   6           2           3 -0.26475926279177098     
   6           2           4  0.60108452654532296     
   6           2           5  -6.7391542648962702E-002
   6           2           6 -0.36022517208745197     
   6           2           7  0.53579235865661901     
   6           2           8 -0.12586928688158699     
   6           2           9   2.1697510388979699     
   6           2          10   5.7821584099258798     
   6           2          11  0.81702091782826503     
   6           2          12   7.5784485921047100     
   6           2          13 -0.65580395316321005     
   6           2          14  -5.6912733442487502     
   6           2          15  -5.5599333442190000     
   6           2          16  -5.9517015169814700     
   6           2          17  -7.1158024078038000     
   6           2          18   1.1852241339629801     
   6           2          19   32.155244224631801     
   6           2          20   11.547604990640700     
   6           2          21  0.25681818191978101     
   6           2          22  -9.7272727232087797E-002
   6           2          23   34.642115666731549     
   6           2          24   27.095154645546266     
   6           2          25   38.995429123032395     
   6           2          26   43.039593916902660     
   6           2          27   49.018122936115745     
   6           2          28   54.827140373672023     
   6           2          29   5.9629374106377160     
   6           2          30   20.770634797412949     
   6           2          31   15.495060096233587     
   6           2          32   27.947161130258714     
   6           2          33   22.301640725420278     
   6           2          34   11.492028243245906     
   6           2          35   13.890735237751890     
   6           2          36   20.891011393230780     
   6           2          37   25.682797062525367     
   6           2          38   31.524491747630883     
   6           2          39   38.318260754929128     
   6           2          40   19.134741680152462     
   6           2          41  -55.702036475676877     
   6           2          42  -32.708982402580325     
   6           2          43   1465.2944289387278     
   6           2          44   661.26444329808055     
   6           2          45  -17.139010453357724     
   6           2          46  -6.8946981576262267     
   6           2          47  -538.05078934077562     
   6           2          48   2427.7193830738588     
   6           2          49   20.183440808634309     
   6           2          50   48.532007664487011     
   6           2          51   8.2513145065690292     
   6           2          52   32.411418559395038     
   6           2          53   35.860248105612470     
   6           2          54   9.2283353234180243     
   6           2          55   71.956570707982465     
   6           2          56   42.560187411792462     
   6           2          57  0.33689237749082113     
   6           2          58   64.842500523308686     
   6           2          59   26.230326963747963     
   6           2          60   2.7096113745885360     
   6           2          61   242.62873884661556     
   6           2          62   130.82827422628876     
